"ID","NAMES","P09_POP4559_AsTheCrowFlies_ACC_0.5"
"97201","L'AJOUPA-BOUILLON",99999999999999
"97202","LES ANSES-D'ARLET",19133.3964218342
"97203","BASSE-POINTE",99999999999999
"97204","LE CARBET",19561.9229076908
"97205","CASE-PILOTE",15249.501042107
"97206","LE DIAMANT",18513.3830728486
"97207","DUCOS",12648.7155984577
"97208","FONDS-SAINT-DENIS",16034.2788342003
"97209","FORT-DE-FRANCE",11617.3577606213
"97210","LE FRANCOIS",15446.9355168987
"97211","GRAND'RIVIERE",99999999999999
"97212","GROS-MORNE",12274.279287708
"97213","LE LAMENTIN",10839.9655861314
"97214","LE LORRAIN",99999999999999
"97215","MACOUBA",99999999999999
"97216","LE MARIGOT",18042.737851263
"97217","LE MARIN",99999999999999
"97218","LE MORNE-ROUGE",19558.0845142829
"97219","LE PRECHEUR",99999999999999
"97220","RIVIERE-PILOTE",99999999999999
"97221","RIVIERE-SALEE",15593.1038420937
"97222","LE ROBERT",13975.4375547469
"97223","SAINT-ESPRIT",15532.0070759031
"97224","SAINT-JOSEPH",10752.3643057668
"97225","SAINT-PIERRE",99999999999999
"97226","SAINTE-ANNE",99999999999999
"97227","SAINTE-LUCE",19538.7404866212
"97228","SAINTE-MARIE",17016.3611970985
"97229","SCHOELCHER",13455.0791841681
"97230","LA TRINITE",17019.0351942064
"97231","LES TROIS-ILETS",15600.2224455966
"97232","LE VAUCLIN",99999999999999
"97233","LE MORNE-VERT",16678.0212568504
"97234","BELLEFONTAINE",17151.6430751724
